Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,Pi_Pico,
"ADC1, ADC2",TSSOP-28_4.4x9.7mm_P0.65mm,2,ADS1148QPWRQ1,
"C1, C104, C21, C24, C29, C3, C34, C39, C44, C49, C54, C59, C64, C69, C74, C79, C91, C92, C99",0603,19,"4,7uF",C19666
"C100, C101, C102, C103",CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,4,47uF,
"C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C83, C84",0402,12,1nF,C1523
"C11, C12, C16, C17, C2, C20, C22, C26, C27, C31, C32, C36, C37, C4, C41, C42, C46, C47, C51, C52, C56, C57, C61, C62, C66, C67, C71, C72, C76, C77, C8, C81, C82, C85, C86, C87, C88, C89, C9, C90, C93, C94, C95, C96, C97, C98",0603,46,100nF,C14663
"C14, C18, C23, C28, C33, C38, C43, C48, C53, C58, C63, C68, C73, C78",0805,14,22uF,C96446
"C15, C19",0603,2,10uF,C45783
"C25, C30, C35, C40, C45, C5, C50, C55, C60, C65, C7, C70, C75, C80",0603,14,1uF,C15849
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,12,SS34,C8678
IC1,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP48CVB08-20E_ST,
"IC10, IC11, IC12, IC13, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9",SOP100P600X165-11N,12,A6214KLKTR-T,C146400
J1,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_2_P5.00mm,
J3,PinHeader_1x06_P2.54mm_Vertical,1,SD Card SPI Module,
J4,MCSPQ08ASGTR,1,Micro_SD_Card,
L1,HPIO530-4R7,1,"4,7uH",C408410
"L10, L11, L12, L13, L2, L3, L4, L5, L6, L7, L8, L9",DR125-470-R,12,47 uH 2A,C5127262
"LED1, LED2, LED3, LED4",XPLDCL,4,XPLDCL-00-0000-0000HC6AAAE7,
"LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED5, LED6, LED7, LED8, LED9",JR5050CWT,12,JR5050CWT-E-B50EB0000-N0000001,
R1,0603,1,1k,C21190
"R10, R11, R12, R2, R25, R29, R3, R33, R37, R4, R41, R45, R5, R57, R58, R6, R69, R70, R8, R9",0603,20,10k,C25804
"R100, R63, R64, R65, R66, R67, R68, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,36,0R,C17168
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112",0402,12,"1,5k", C25867
"R13, R15, R17, R19, R21, R23, R27, R31, R35, R39, R43, R47",0603,12,442k,C23175
"R14, R16, R18, R20, R22, R24",2512,6,R150 or R250,
"R26, R30, R34, R38, R42, R46",0603,6,2k,C22975
"R28, R32, R36, R40, R44, R48",2512,6,R180 or R250,
R7,0603,1,56k,C23206
TH1,0805,1,NTC 2.2k,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,29,TestPoint,
U1,SOT-23-6_Handsoldering,1,TPS562201DDCR,C90061
"U10, U11, U12, U13, U14, U9",SOT-23-5,6,INA180A1,
U2,LM2596 DC-DC module,1,LM2596 BUCK MODULE,
"U3, U4, U5, U6, U7, U8",SOT-23-5,6,INA180A1,C122228
